"Any","Mes","Dia","Hora","Id_Instal","Nivell_LAeq_1h"
"2015","03","19","0:00","391","66.9"
"2015","03","19","1:00","391","64.5"
"2015","03","19","2:00","391","62.1"
"2015","03","19","3:00","391","61.9"
"2015","03","19","4:00","391","61.0"
"2015","03","19","5:00","391","65.1"
"2015","03","19","6:00","391","68.5"
"2015","03","19","7:00","391","72.7"
"2015","03","19","8:00","391","73.8"
"2015","03","19","9:00","391","73.9"
"2015","03","19","10:00","391","74.4"
"2015","03","19","11:00","391","73.2"
"2015","03","19","12:00","391","73.1"
"2015","03","19","13:00","391","73.3"
"2015","03","19","14:00","391","75.2"
"2015","03","19","15:00","391","74.2"
"2015","03","19","16:00","391","75.2"
"2015","03","19","17:00","391","72.8"
"2015","03","19","18:00","391","74.0"
"2015","03","19","19:00","391","73.2"
"2015","03","19","20:00","391","73.4"
"2015","03","19","21:00","391","72.4"
"2015","03","19","22:00","391","70.6"
"2015","03","19","23:00","391","70.5"
"2015","03","20","0:00","391","68.0"
"2015","03","20","1:00","391","66.0"
"2015","03","20","2:00","391","63.6"
"2015","03","20","3:00","391","61.0"
"2015","03","20","4:00","391","62.2"
"2015","03","20","5:00","391","64.4"
"2015","03","20","6:00","391","68.7"
"2015","03","20","7:00","391","72.6"
"2015","03","20","8:00","391","73.5"
"2015","03","20","9:00","391","73.3"
"2015","03","20","10:00","391","73.3"
"2015","03","20","11:00","391","72.7"
"2015","03","20","12:00","391","72.6"
"2015","03","20","13:00","391","73.6"
"2015","03","20","14:00","391","75.7"
"2015","03","20","15:00","391","73.4"
"2015","03","20","16:00","391","73.6"
"2015","03","20","17:00","391","72.8"
"2015","03","20","18:00","391","72.3"
"2015","03","20","19:00","391","75.5"
"2015","03","20","20:00","391","73.0"
"2015","03","20","21:00","391","74.9"
"2015","03","20","22:00","391","71.6"
"2015","03","20","23:00","391","68.6"
"2015","03","24","0:00","391","66.2"
"2015","03","24","1:00","391","65.1"
"2015","03","24","2:00","391","62.1"
"2015","03","24","3:00","391","61.3"
"2015","03","24","4:00","391","64.5"
"2015","03","24","5:00","391","67.0"
"2015","03","24","6:00","391","70.7"
"2015","03","24","7:00","391","73.5"
"2015","03","24","8:00","391","74.0"
"2015","03","24","9:00","391","73.7"
"2015","03","24","10:00","391","73.5"
"2015","03","24","11:00","391","72.7"
"2015","03","24","12:00","391","72.8"
"2015","03","24","13:00","391","76.1"
"2015","03","24","14:00","391","74.0"
"2015","03","24","15:00","391","73.0"
"2015","03","24","16:00","391","73.2"
"2015","03","24","17:00","391","77.3"
"2015","03","24","18:00","391","76.7"
"2015","03","24","19:00","391","73.3"
"2015","03","24","20:00","391","72.8"
"2015","03","24","21:00","391","72.3"
"2015","03","24","22:00","391","70.4"
"2015","03","24","23:00","391","68.4"
"2015","03","25","0:00","391","67.3"
"2015","03","25","1:00","391","69.7"
"2015","03","25","2:00","391","61.9"
"2015","03","25","3:00","391","59.5"
"2015","03","25","4:00","391","62.2"
"2015","03","25","5:00","391","64.9"
"2015","03","25","6:00","391","69.5"
"2015","03","25","7:00","391","72.8"
"2015","03","25","8:00","391","73.8"
"2015","03","25","9:00","391","77.2"
"2015","03","25","10:00","391","74.0"
"2015","03","25","11:00","391","73.8"
"2015","03","25","12:00","391","76.3"
"2015","03","25","13:00","391","73.4"
"2015","03","25","14:00","391","73.6"
"2015","03","25","15:00","391","73.3"
"2015","03","25","16:00","391","73.2"
"2015","03","25","17:00","391","72.9"
"2015","03","25","18:00","391","72.9"
"2015","03","25","19:00","391","73.4"
"2015","03","25","20:00","391","72.7"
"2015","03","25","21:00","391","72.1"
"2015","03","25","22:00","391","71.2"
"2015","03","25","23:00","391","68.3"
"2015","03","26","0:00","391","67.5"
"2015","03","26","1:00","391","65.9"
"2015","03","26","2:00","391","63.3"
"2015","03","26","3:00","391","61.6"
"2015","03","26","4:00","391","61.5"
"2015","03","26","5:00","391","64.7"
"2015","03","26","6:00","391","68.8"
"2015","03","26","7:00","391","72.8"
"2015","03","26","8:00","391","73.9"
"2015","03","26","9:00","391","74.1"
"2015","03","26","10:00","391","73.4"
"2015","03","26","11:00","391","72.0"
"2015","03","26","12:00","391","72.6"
"2015","03","26","13:00","391","72.6"
"2015","03","26","14:00","391","74.3"
"2015","03","26","15:00","391","73.4"
"2015","03","26","16:00","391","73.5"
"2015","03","26","17:00","391","74.8"
"2015","03","26","18:00","391","73.7"
"2015","03","26","19:00","391","73.4"
"2015","03","26","20:00","391","73.2"
"2015","03","26","21:00","391","72.8"
"2015","03","26","22:00","391","72.3"
"2015","03","26","23:00","391","68.4"
"2015","03","27","0:00","391","68.8"
"2015","03","27","1:00","391","65.9"
"2015","03","27","2:00","391","64.1"
"2015","03","27","3:00","391","62.2"
"2015","03","27","4:00","391","63.5"
"2015","03","27","5:00","391","64.6"
"2015","03","27","6:00","391","69.6"
"2015","03","27","7:00","391","72.9"
"2015","03","27","8:00","391","73.5"
"2015","03","27","9:00","391","73.5"
"2015","03","27","10:00","391","72.8"
"2015","03","27","11:00","391","74.1"
"2015","03","27","12:00","391","74.4"
"2015","03","27","13:00","391","73.1"
"2015","03","27","14:00","391","73.4"
"2015","03","27","15:00","391","76.3"
"2015","03","27","16:00","391","72.6"
"2015","03","27","17:00","391","73.5"
"2015","03","27","18:00","391","73.1"
"2015","03","27","19:00","391","72.4"
"2015","03","27","20:00","391","73.6"
"2015","03","27","21:00","391","71.7"
"2015","03","27","22:00","391","70.8"
"2015","03","27","23:00","391","69.7"
"2015","03","28","0:00","391","69.3"
"2015","03","28","1:00","391","67.7"
"2015","03","28","2:00","391","66.9"
"2015","03","28","3:00","391","65.3"
"2015","03","28","4:00","391","63.4"
"2015","03","28","5:00","391","63.7"
"2015","03","28","6:00","391","66.1"
"2015","03","28","7:00","391","70.8"
"2015","03","28","8:00","391","68.7"
"2015","03","28","9:00","391","70.4"
